DATE,MORTGAGE30US
1971-04-01,7.4130769230769231
1971-07-01,7.6584615384615385
1971-10-01,7.5528571428571429
1972-01-01,7.3492307692307692
1972-04-01,7.3469230769230769
1972-07-01,7.4061538461538462
1972-10-01,7.4307692307692308
1973-01-01,7.4461538461538462
1973-04-01,7.6500000000000000
1973-07-01,8.4569230769230769
1973-10-01,8.6261538461538462
1974-01-01,8.4623076923076923
1974-04-01,8.8869230769230769
1974-07-01,9.6061538461538462
1974-10-01,9.7930769230769231
1975-01-01,9.1684615384615385
1975-04-01,8.8753846153846154
1975-07-01,8.9838461538461538
1975-10-01,9.1607692307692308
1976-01-01,8.8730769230769231
1976-04-01,8.7769230769230769
1976-07-01,8.9676923076923077
1976-10-01,8.8471428571428571
1977-01-01,8.6933333333333333
1977-04-01,8.8076923076923077
1977-07-01,8.9250000000000000
1977-10-01,8.9369230769230769
1978-01-01,9.1269230769230769
1978-04-01,9.5576923076923077
1978-07-01,9.7600000000000000
1978-10-01,10.1223076923076923
1979-01-01,10.4092307692307692
1979-04-01,10.7638461538461538
1979-07-01,11.1569230769230769
1979-10-01,12.4846153846153846
1980-01-01,13.6800000000000000
1980-04-01,14.4192307692307692
1980-07-01,12.6430769230769231
1980-10-01,14.2261538461538462
1981-01-01,15.1269230769230769
1981-04-01,16.2392307692307692
1981-07-01,17.3800000000000000
1981-10-01,17.7357142857142857
1982-01-01,17.4141666666666667
1982-04-01,16.7661538461538462
1982-07-01,16.2215384615384615
1982-10-01,14.0328571428571429
1983-01-01,13.0300000000000000
1983-04-01,12.7630769230769231
1983-07-01,13.6414285714285714
1983-10-01,13.4600000000000000
1984-01-01,13.3330769230769231
1984-04-01,14.0353846153846154
1984-07-01,14.4938461538461538
1984-10-01,13.6484615384615385
1985-01-01,13.0638461538461538
1985-04-01,12.7853846153846154
1985-07-01,12.1407692307692308
1985-10-01,11.7307692307692308
1986-01-01,10.5838461538461538
1986-04-01,10.2461538461538462
1986-07-01,10.2353846153846154
1986-10-01,9.6838461538461538
1987-01-01,9.1146153846153846
1987-04-01,10.3430769230769231
1987-07-01,10.4815384615384615
1987-10-01,10.8642857142857143
1988-01-01,10.0683333333333333
1988-04-01,10.3592307692307692
1988-07-01,10.4964285714285714
1988-10-01,10.4100000000000000
1989-01-01,10.8200000000000000
1989-04-01,10.6361538461538462
1989-07-01,10.0076923076923077
1989-10-01,9.8138461538461538
1990-01-01,10.1315384615384615
1990-04-01,10.3238461538461538
1990-07-01,10.1030769230769231
1990-10-01,9.9592307692307692
1991-01-01,9.5007692307692308
1991-04-01,9.5223076923076923
1991-07-01,9.2730769230769231
1991-10-01,8.6900000000000000
1992-01-01,8.6884615384615385
1992-04-01,8.6776923076923077
1992-07-01,8.0176923076923077
1992-10-01,8.1921428571428571
1993-01-01,7.7233333333333333
1993-04-01,7.4530769230769231
1993-07-01,7.0876923076923077
1993-10-01,7.0464285714285714
1994-01-01,7.2958333333333333
1994-04-01,8.4276923076923077
1994-07-01,8.5942857142857143
1994-10-01,9.1053846153846154
1995-01-01,8.7853846153846154
1995-04-01,7.9176923076923077
1995-07-01,7.6961538461538462
1995-10-01,7.3392307692307692
1996-01-01,7.2723076923076923
1996-04-01,8.1023076923076923
1996-07-01,8.1469230769230769
1996-10-01,7.7030769230769231
