DATE,INDPRO
1919-01-01,4.8185000000000000
1919-04-01,4.8554000000000000
1919-07-01,5.3908333333333333
1919-10-01,5.2616000000000000
1920-01-01,5.7508000000000000
1920-04-01,5.4831333333333333
1920-07-01,5.3815666666666667
1920-10-01,4.6708000000000000
1921-01-01,4.0061666666666667
1921-04-01,3.9692333333333333
1921-07-01,4.0615666666666667
1921-10-01,4.3292333333333333
1922-01-01,4.6708333333333333
1922-04-01,4.9846666666666667
1922-07-01,5.2523333333333333
1922-10-01,5.9262333333333333
1923-01-01,6.1016000000000000
1923-04-01,6.4339333333333333
1923-07-01,6.2493000000000000
1923-10-01,6.0462333333333333
1924-01-01,6.1293000000000000
1924-04-01,5.6492666666666667
1924-07-01,5.5108333333333333
1924-10-01,5.9723666666666667
1925-01-01,6.3139000000000000
1925-04-01,6.3323666666666667
1925-07-01,6.3508333333333333
1925-10-01,6.6277333333333333
1926-01-01,6.6462000000000000
1926-04-01,6.6923666666666667
1926-07-01,6.8493000000000000
1926-10-01,6.9231000000000000
1927-01-01,6.9323333333333333
1927-04-01,6.8677666666666667
1927-07-01,6.7477666666666667
1927-10-01,6.5446333333333333
1928-01-01,6.7570000000000000
1928-04-01,6.8585333333333333
1928-07-01,7.1170000000000000
1928-10-01,7.4770000000000000
1929-01-01,7.7169666666666667
1929-04-01,7.9754666666666667
1929-07-01,8.0954333333333333
1929-10-01,7.5231666666666667
1930-01-01,7.1170000000000000
1930-04-01,6.8400666666666667
1930-07-01,6.2400666666666667
1930-10-01,5.8154333333333333
1931-01-01,5.7046666666666667
1931-04-01,5.7139000000000000
1931-07-01,5.2985000000000000
1931-10-01,4.8277333333333333
1932-01-01,4.5600333333333333
1932-04-01,4.0431333333333333
1932-07-01,3.9508000000000000
1932-10-01,4.2646333333333333
1933-01-01,4.0615666666666667
1933-04-01,4.8923666666666667
1933-07-01,5.8708000000000000
1933-10-01,5.0954333333333333
1934-01-01,5.4277333333333333
1934-04-01,5.7139000000000000
1934-07-01,5.1508333333333333
1934-10-01,5.2985000000000000
1935-01-01,6.0462333333333333
1935-04-01,5.9816000000000000
1935-07-01,6.2400666666666667
1935-10-01,6.7385333333333333
1936-01-01,6.6462000000000000
1936-04-01,7.2000666666666667
1936-07-01,7.5970000000000000
1936-10-01,8.0677666666666667
1937-01-01,8.4185333333333333
1937-04-01,8.5662333333333333
1937-07-01,8.4277666666666667
1937-10-01,6.9139333333333333
1938-01-01,6.0831666666666667
1938-04-01,5.8800333333333333
