DATE,RESBALNS
1950-04-01,16.0110000000000000
1950-07-01,16.3760000000000000
1950-10-01,16.9546666666666667
1951-01-01,18.7340000000000000
1951-04-01,19.1750000000000000
1951-07-01,19.2663333333333333
1951-10-01,19.9906666666666667
1952-01-01,20.2240000000000000
1952-04-01,19.8946666666666667
1952-07-01,20.4516666666666667
1952-10-01,20.8450000000000000
1953-01-01,20.6313333333333333
1953-04-01,20.0636666666666667
1953-07-01,19.5770000000000000
1953-10-01,19.7246666666666667
1954-01-01,19.7696666666666667
1954-04-01,19.5316666666666667
1954-07-01,18.6816666666666667
1954-10-01,19.1263333333333333
1955-01-01,18.8560000000000000
1955-04-01,18.7536666666666667
1955-07-01,18.7543333333333333
1955-10-01,19.0040000000000000
1956-01-01,18.9236666666666667
1956-04-01,18.8383333333333333
1956-07-01,18.8810000000000000
1956-10-01,19.2143333333333333
1957-01-01,18.9983333333333333
1957-04-01,18.9653333333333333
1957-07-01,18.9730000000000000
1957-10-01,19.1393333333333333
1958-01-01,19.0086666666666667
1958-04-01,18.4056666666666667
1958-07-01,18.5380000000000000
1958-10-01,18.6383333333333333
1959-01-01,18.6300000000000000
1959-04-01,18.5613333333333333
1959-07-01,18.6320000000000000
1959-10-01,18.6263333333333333
1960-01-01,18.0866666666666667
1960-04-01,17.9386666666666667
1960-07-01,18.0006666666666667
1960-10-01,17.4230000000000000
1961-01-01,16.5620000000000000
1961-04-01,16.4766666666666667
1961-07-01,16.6836666666666667
1961-10-01,17.1773333333333333
1962-01-01,17.0200000000000000
1962-04-01,17.1366666666666667
1962-07-01,17.2103333333333333
1962-10-01,16.9970000000000000
1963-01-01,16.7833333333333333
1963-04-01,16.7603333333333333
1963-07-01,16.8563333333333333
1963-10-01,17.0726666666666667
1964-01-01,17.1483333333333333
1964-04-01,17.1746666666666667
1964-07-01,17.4433333333333333
1964-10-01,17.8350000000000000
1965-01-01,17.8826666666666667
1965-04-01,18.1023333333333333
1965-07-01,18.1680000000000000
1965-10-01,18.4300000000000000
1966-01-01,18.5783333333333333
1966-04-01,18.7393333333333333
1966-07-01,19.0783333333333333
1966-10-01,19.3886666666666667
1967-01-01,19.6223333333333333
1967-04-01,19.3326666666666667
1967-07-01,19.7703333333333333
1967-10-01,20.5480000000000000
1968-01-01,21.2583333333333333
1968-04-01,21.2310000000000000
1968-07-01,21.5616666666666667
1968-10-01,22.2753333333333333
1969-01-01,22.6383333333333333
1969-04-01,22.8796666666666667
1969-07-01,22.3463333333333333
1969-10-01,22.9280000000000000
1970-01-01,23.1363333333333333
1970-04-01,23.0400000000000000
1970-07-01,23.4163333333333333
1970-10-01,23.6573333333333333
1971-01-01,24.7383333333333333
1971-04-01,24.9546666666666667
1971-07-01,25.2313333333333333
1971-10-01,25.5203333333333333
1972-01-01,26.6306666666666667
1972-04-01,27.1810000000000000
1972-07-01,27.3536666666666667
1972-10-01,26.4556666666666667
1973-01-01,26.0453333333333333
1973-04-01,26.3446666666666667
1973-07-01,27.4110000000000000
1973-10-01,28.4763333333333333
1974-01-01,28.8316666666666667
1974-04-01,29.7406666666666667
1974-07-01,30.3043333333333333
1974-10-01,29.8490000000000000
1975-01-01,28.7513333333333333
1975-04-01,27.8970000000000000
1975-07-01,27.3426666666666667
1975-10-01,27.2493333333333333
1976-01-01,26.6570000000000000
1976-04-01,26.2470000000000000
1976-07-01,26.0296666666666667
1976-10-01,26.5016666666666667
1977-01-01,26.3966666666666667
1977-04-01,26.0996666666666667
1977-07-01,26.4843333333333333
1977-10-01,27.0026666666666667
1978-01-01,27.6073333333333333
1978-04-01,27.9400000000000000
1978-07-01,28.3146666666666667
1978-10-01,29.9730000000000000
1979-01-01,31.0183333333333333
1979-04-01,30.3740000000000000
1979-07-01,30.2903333333333333
1979-10-01,32.1780000000000000
1980-01-01,32.4770000000000000
1980-04-01,33.1136666666666667
1980-07-01,30.0253333333333333
1980-10-01,28.7733333333333333
1981-01-01,26.8733333333333333
1981-04-01,26.9776666666666667
1981-07-01,26.5280000000000000
1981-10-01,25.9153333333333333
1982-01-01,25.6436666666666667
1982-04-01,24.2660000000000000
1982-07-01,24.0416666666666667
1982-10-01,24.5546666666666667
1983-01-01,23.3756666666666667
1983-04-01,22.1276666666666667
1983-07-01,21.5630000000000000
1983-10-01,20.9960000000000000
1984-01-01,19.7173333333333333
1984-04-01,20.0286666666666667
1984-07-01,19.7590000000000000
1984-10-01,20.8616666666666667
1985-01-01,21.2770000000000000
1985-04-01,22.9676666666666667
1985-07-01,23.9646666666666667
1985-10-01,26.4570000000000000
1986-01-01,26.0360000000000000
1986-04-01,28.8983333333333333
1986-07-01,30.7740000000000000
1986-10-01,34.9403333333333333
1987-01-01,35.1593333333333333
1987-04-01,36.8446666666666667
1987-07-01,36.1300000000000000
1987-10-01,37.4623333333333333
1988-01-01,35.8416666666666667
1988-04-01,37.5800000000000000
1988-07-01,37.3296666666666667
1988-10-01,37.0423333333333333
1989-01-01,34.5686666666666667
1989-04-01,34.2600000000000000
1989-07-01,33.4430000000000000
1989-10-01,34.1123333333333333
1990-01-01,32.7816666666666667
1990-04-01,34.0086666666666667
1990-07-01,32.8730000000000000
1990-10-01,31.8953333333333333
1991-01-01,21.1536666666666667
1991-04-01,23.1503333333333333
1991-07-01,23.1636666666666667
1991-10-01,24.9476666666666667
1992-01-01,26.1043333333333333
1992-04-01,21.6560000000000000
1992-07-01,21.7060000000000000
1992-10-01,24.8390000000000000
1993-01-01,23.8506666666666667
1993-04-01,26.4563333333333333
1993-07-01,26.7880000000000000
